Date,Ball1,Ball2,Ball3,Ball4,Ball5,MegaBall
04/07/1998,27,32,46,47,49,7
04/10/1998,9,11,33,35,40,16
04/14/1998,6,7,10,26,32,18
04/17/1998,6,18,20,32,50,12
04/21/1998,8,18,19,36,44,1
04/24/1998,15,17,20,25,29,21
04/28/1998,10,13,14,29,45,6
05/01/1998,2,17,29,35,46,16
05/05/1998,8,20,22,35,50,17
05/08/1998,25,33,35,40,45,17
05/12/1998,14,20,28,37,39,14
05/15/1998,3,37,41,42,48,9
05/19/1998,12,21,31,47,50,2
05/22/1998,18,25,32,46,47,12
05/26/1998,1,13,29,35,50,24
05/29/1998,3,35,36,43,47,10
06/02/1998,9,19,28,30,31,19
06/05/1998,5,18,20,30,36,10
06/09/1998,4,9,13,24,27,24
06/12/1998,2,23,24,29,48,9
06/16/1998,11,17,20,23,25,15
06/19/1998,1,11,13,14,23,22
06/23/1998,2,7,13,17,33,22
06/26/1998,20,25,30,41,47,5
06/30/1998,5,21,41,43,48,10
07/03/1998,5,36,38,39,46,1
07/07/1998,5,9,27,39,48,25
07/10/1998,19,24,28,29,38,6
07/14/1998,5,7,15,33,48,13
07/17/1998,13,24,35,39,44,24
07/21/1998,3,7,8,11,20,25
07/24/1998,7,15,18,31,35,19
07/28/1998,5,10,14,18,49,25
07/31/1998,3,10,23,33,46,8
08/04/1998,3,4,6,26,40,10
08/07/1998,7,11,32,44,46,19
08/11/1998,7,31,35,44,48,18
08/14/1998,6,10,14,17,22,17
08/18/1998,9,10,11,12,48,18
08/21/1998,6,16,19,28,48,11
08/25/1998,2,27,33,37,44,21
08/28/1998,1,21,28,43,45,17
09/01/1998,9,23,24,37,44,24
09/04/1998,11,19,25,34,47,10
09/08/1998,1,14,24,25,26,24
09/11/1998,21,31,34,35,43,4
09/15/1998,11,26,30,37,38,20
09/18/1998,15,22,23,40,50,12
09/22/1998,1,37,43,44,45,24
09/25/1998,20,23,36,46,50,9
09/29/1998,1,8,18,27,38,24
10/02/1998,2,6,8,26,39,8
10/06/1998,1,3,13,15,22,18
10/09/1998,1,23,30,47,50,2
10/13/1998,12,24,30,43,44,1
10/16/1998,6,7,14,18,33,8
10/20/1998,6,9,10,22,28,19
10/23/1998,13,20,27,28,33,20
10/27/1998,12,13,17,25,43,22
10/30/1998,12,16,22,38,46,20
11/03/1998,1,9,32,35,50,1
11/06/1998,7,21,29,46,48,16
11/10/1998,3,10,17,23,35,23
11/13/1998,5,7,18,26,45,15
11/17/1998,28,36,38,43,50,10
11/20/1998,20,40,48,49,50,17
11/24/1998,14,15,17,33,43,17
11/27/1998,4,8,20,41,44,6
12/01/1998,16,21,30,32,44,15
12/04/1998,7,16,28,30,43,4
12/08/1998,1,11,25,28,35,1
12/11/1998,11,13,42,44,50,24
12/15/1998,7,18,36,38,41,24
12/18/1998,10,21,25,34,48,24
12/22/1998,17,21,33,42,44,9
12/25/1998,6,8,17,21,31,10
12/29/1998,3,5,7,28,35,10
1/1/1999,11,19,28,43,48,5
1/5/1999,4,31,32,34,43,19
1/8/1999,5,21,23,26,37,3
1/12/1999,5,7,9,20,46,2
1/15/1999,17,18,28,42,48,8
1/19/1999,21,25,26,35,49,12
1/22/1999,7,16,20,23,36,22
01/26/1999,5,8,10,44,50,33
01/29/1999,4,9,12,32,47,27
02/02/1999,6,14,23,31,33,13
02/05/1999,2,8,14,21,27,33
2/9/1999,3,6,14,21,24,9
2/12/1999,8,11,16,27,34,8
2/16/1999,3,10,13,36,49,14
2/19/1999,1,7,16,36,40,10
2/23/1999,3,13,27,30,44,27
2/26/1999,6,26,31,44,48,1
3/2/1999,3,31,35,42,46,34
3/5/1999,3,20,26,29,36,16
3/9/1999,3,4,10,22,48,21
3/12/1999,22,32,37,38,41,3
3/16/1999,6,11,19,33,40,19
03/19/1999,17,23,37,46,49,28
03/23/1999,16,18,29,44,47,32
03/26/1999,14,15,20,47,50,35
03/30/1999,4,5,27,33,41,9
4/2/1999,8,25,26,28,35,25
4/6/1999,12,17,22,33,44,25
4/9/1999,14,27,41,44,47,10
4/13/1999,13,19,21,39,40,8
4/16/1999,1,7,10,16,36,36
4/20/1999,11,12,17,18,41,6
4/23/1999,3,12,27,38,39,17
4/27/1999,1,8,10,38,42,36
4/30/1999,1,23,25,29,39,5
5/4/1999,5,20,32,42,46,26
5/7/1999,12,21,30,35,49,15
05/11/1999,11,22,29,35,41,30
05/14/1999,1,6,25,37,42,27
05/18/1999,5,11,14,27,41,18
05/21/1999,1,15,26,37,41,13
05/25/1999,12,35,36,38,39,30
05/28/1999,5,6,9,27,50,25
06/01/1999,1,3,13,37,42,23
06/04/1999,2,5,24,33,39,12
06/08/1999,18,31,45,48,49,15
06/11/1999,5,7,13,17,43,12
06/15/1999,1,6,19,27,42,25
06/18/1999,1,13,34,37,50,5
06/22/1999,4,21,40,44,48,31
06/25/1999,2,28,34,36,48,35
06/29/1999,4,11,17,31,44,32
07/02/1999,6,26,39,40,47,8
07/06/1999,7,20,23,26,33,15
07/09/1999,16,20,22,34,36,29
07/13/1999,1,22,33,40,43,2
07/16/1999,2,6,7,17,18,1
07/20/1999,9,25,27,31,32,24
07/23/1999,6,10,24,26,37,6
07/27/1999,2,5,25,34,40,17
07/30/1999,8,13,20,44,47,21
08/03/1999,4,40,42,43,48,8
08/06/1999,16,18,20,21,50,20
08/10/1999,13,27,32,43,50,2
08/13/1999,2,19,30,45,46,31
08/17/1999,11,12,28,29,45,35
08/20/1999,5,15,27,44,47,7
08/24/1999,9,13,21,23,41,17
08/27/1999,5,23,25,47,49,24
08/31/1999,3,21,26,27,40,15
09/03/1999,24,29,37,47,48,2
09/07/1999,4,5,6,39,46,20
09/10/1999,16,20,31,32,48,6
09/14/1999,1,2,6,15,49,4
09/17/1999,25,29,30,42,47,32
09/21/1999,7,16,18,35,47,23
09/24/1999,22,25,29,45,47,17
09/28/1999,8,22,34,40,48,4
10/01/1999,9,13,15,38,41,3
10/05/1999,15,20,32,33,47,25
10/08/1999,15,17,36,37,45,15
10/12/1999,11,23,27,38,45,32
