Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
12/25/1998,06,08,17,21,31,10
12/29/1998,03,05,07,28,35,10
01/01/1999,11,19,28,43,48,05
01/05/1999,04,31,32,34,43,19
01/08/1999,05,21,23,26,37,03
01/12/1999,05,07,09,20,46,02
01/15/1999,17,18,28,42,48,08
01/19/1999,21,25,26,35,49,12
01/22/1999,07,16,20,23,36,22
01/26/1999,05,08,10,44,50,33
01/29/1999,04,09,12,32,47,27
02/02/1999,06,14,23,31,33,13
02/05/1999,02,08,14,21,27,33
02/09/1999,03,06,14,21,24,09
02/12/1999,08,11,16,27,34,08
02/16/1999,03,10,13,36,49,14
02/19/1999,01,07,16,36,40,10
02/23/1999,03,13,27,30,44,27
02/26/1999,06,26,31,44,48,01
03/02/1999,03,31,35,42,46,34
03/05/1999,03,20,26,29,36,16
03/09/1999,03,04,10,22,48,21
03/12/1999,22,32,37,38,41,03
03/16/1999,06,11,19,33,40,19
03/19/1999,17,23,37,46,49,28
03/23/1999,16,18,29,44,47,32
03/26/1999,14,15,20,47,50,35
03/30/1999,04,05,27,33,41,09
04/02/1999,08,25,26,28,35,25
04/06/1999,12,17,22,33,44,25
04/09/1999,14,27,41,44,47,10
04/13/1999,13,19,21,39,40,08
04/16/1999,01,07,10,16,36,36
04/20/1999,11,12,17,18,41,06
04/23/1999,03,12,27,38,39,17
04/27/1999,01,08,10,38,42,36
04/30/1999,01,23,25,29,39,05
05/04/1999,05,20,32,42,46,26
05/07/1999,12,21,30,35,49,15
05/11/1999,11,22,29,35,41,30
05/14/1999,01,06,25,37,42,27
05/18/1999,05,11,14,27,41,18
05/21/1999,01,15,26,37,41,13
05/25/1999,12,35,36,38,39,30
05/28/1999,05,06,09,27,50,25
06/01/1999,01,03,13,37,42,23
06/04/1999,02,05,24,33,39,12
06/08/1999,18,31,45,48,49,15
06/11/1999,05,07,13,17,43,12
06/15/1999,01,06,19,27,42,25
06/18/1999,01,13,34,37,50,05
06/22/1999,04,21,40,44,48,31
06/25/1999,02,28,34,36,48,35
06/29/1999,04,11,17,31,44,32
07/02/1999,06,26,39,40,47,08
07/06/1999,07,20,23,26,33,15
07/09/1999,16,20,22,34,36,29
07/13/1999,01,22,33,40,43,02
07/16/1999,02,06,07,17,18,01
07/20/1999,09,25,27,31,32,24
07/23/1999,06,10,24,26,37,06
07/27/1999,02,05,25,34,40,17
07/30/1999,08,13,20,44,47,21
08/03/1999,04,40,42,43,48,08
08/06/1999,16,18,20,21,50,20
08/10/1999,13,27,32,43,50,02
08/13/1999,02,19,30,45,46,31
08/17/1999,11,12,28,29,45,35
08/20/1999,05,15,27,44,47,07
08/24/1999,09,13,21,23,41,17
08/27/1999,05,23,25,47,49,24
08/31/1999,03,21,26,27,40,15
09/03/1999,24,29,37,47,48,02
09/07/1999,04,05,06,39,46,20
09/10/1999,16,20,31,32,48,06
09/14/1999,01,02,06,15,49,04
09/17/1999,25,29,30,42,47,32
09/21/1999,07,16,18,35,47,23
09/24/1999,22,25,29,45,47,17
09/28/1999,08,22,34,40,48,04
10/01/1999,09,13,15,38,41,03
10/05/1999,15,20,32,33,47,25
10/08/1999,15,17,36,37,45,15
10/12/1999,11,23,27,38,45,32
10/15/1999,15,19,29,40,41,07
10/19/1999,03,30,32,35,37,05
10/22/1999,03,05,33,36,40,29
10/26/1999,24,32,37,47,48,19
10/29/1999,17,20,23,29,33,20
11/02/1999,06,10,30,31,35,14
11/05/1999,15,23,28,33,47,09
11/09/1999,12,13,26,40,42,27
11/12/1999,20,26,27,40,45,22
11/16/1999,10,27,29,37,46,31
11/19/1999,01,18,28,36,42,19
11/23/1999,01,05,09,13,19,03
11/26/1999,17,21,22,33,38,34
11/30/1999,01,04,05,22,47,23
12/03/1999,12,15,19,24,49,08
12/07/1999,22,26,27,38,44,27
12/10/1999,18,24,25,26,32,13
12/14/1999,06,21,27,38,43,21
12/17/1999,08,15,28,30,44,24
12/21/1999,02,03,29,46,47,31
12/24/1999,32,38,40,44,50,27
12/28/1999,09,11,21,40,50,11
12/31/1999,04,17,32,38,46,26
01/04/2000,11,14,27,39,42,33
01/07/2000,01,09,23,39,41,15
01/11/2000,16,18,28,37,39,07
01/14/2000,01,09,28,41,45,22
01/18/2000,13,15,29,34,41,23
01/21/2000,04,08,12,37,45,21
01/25/2000,06,10,19,24,38,20
01/28/2000,04,42,43,45,48,34
02/01/2000,14,15,31,47,49,32
02/04/2000,26,28,37,39,44,15
02/08/2000,20,24,29,42,44,33
02/11/2000,05,27,36,37,42,20
02/15/2000,02,06,07,13,26,25
02/18/2000,01,08,15,21,37,25
02/22/2000,33,35,36,40,43,11
02/25/2000,02,14,45,48,49,10
02/29/2000,02,05,22,36,40,19
03/03/2000,02,05,14,38,47,04
03/07/2000,04,16,30,44,49,29
03/10/2000,01,02,26,39,43,07
03/14/2000,01,08,09,22,47,27
03/17/2000,17,29,37,41,50,14
03/21/2000,05,21,33,42,46,01
03/24/2000,14,31,42,46,50,28
03/28/2000,02,18,35,38,43,20
03/31/2000,03,06,07,17,43,18
04/04/2000,04,17,23,35,39,09
04/07/2000,01,06,09,17,34,18
04/11/2000,01,11,31,38,45,12
04/14/2000,02,17,24,39,40,29
04/18/2000,26,42,48,49,50,27
04/21/2000,14,15,34,42,44,08
04/25/2000,01,12,17,22,41,12
04/28/2000,05,28,29,32,49,29
05/02/2000,03,33,36,42,43,13
05/05/2000,06,08,16,30,32,26
05/09/2000,01,02,12,33,37,04
05/12/2000,12,27,28,40,48,25
05/16/2000,09,11,34,48,50,13
05/19/2000,16,24,37,38,40,26
05/23/2000,09,34,42,46,50,35
05/26/2000,08,10,11,29,40,32
05/30/2000,04,11,40,42,50,18
06/02/2000,05,24,26,39,44,03
06/06/2000,04,30,36,37,42,35
06/09/2000,06,07,25,34,45,02
06/13/2000,04,05,06,17,23,02
06/16/2000,11,12,24,33,35,04
06/20/2000,01,16,22,26,38,01
06/23/2000,09,11,13,23,49,11
06/27/2000,12,21,34,40,41,07
06/30/2000,09,16,39,46,47,15
07/04/2000,03,25,29,31,33,20
07/07/2000,24,29,32,47,49,02
07/11/2000,19,20,24,36,38,17
07/14/2000,21,22,27,28,42,24
07/18/2000,03,04,25,43,48,17
07/21/2000,11,13,15,31,41,16
07/25/2000,16,18,33,43,46,34
07/28/2000,02,07,16,21,45,03
08/01/2000,10,13,16,25,26,21
08/04/2000,05,09,14,31,47,22
08/08/2000,23,32,38,48,50,20
08/11/2000,02,14,19,24,28,07
08/15/2000,15,16,22,28,39,33
08/18/2000,05,23,38,45,50,26
